distance,pond_airblast_orchard,pond_airblast_vineyard,pond_ground_high_f2m,pond_ground_high_vf2f,pond_ground_low_f2m,pond_ground_low_vf2f,pond_aerial_c2vc,pond_aerial_m2c,pond_aerial_f2m,pond_aerial_vf2f
0,0.0218,0.002433,0.0165,0.06164,0.0109,0.02681,0.06879,0.08918,0.1266,0.2425
1,0.01911,0.0020455,0.013171,0.052075,0.008512,0.02115,0.062505,0.082835,0.1204,0.2372
2,0.01642,0.001658,0.009842,0.04251,0.006124,0.01549,0.05622,0.07649,0.1142,0.2319
3,0.014715,0.001466,0.0091275,0.03838,0.005698,0.013995,0.052035,0.07204,0.1096,0.2273
4,0.01301,0.001274,0.008413,0.03425,0.005272,0.0125,0.04785,0.06759,0.105,0.2227
5,0.01184,0.0011565,0.0079925,0.031805,0.005023,0.011685,0.044875,0.06431,0.101285,0.21855
6,0.01067,0.001039,0.007572,0.02936,0.004774,0.01087,0.0419,0.06103,0.09757,0.2144
7,0.009834,0.00096125,0.007275,0.027715,0.004598,0.010335,0.039685,0.05848,0.09452,0.21065
8,0.008998,0.0008835,0.006978,0.02607,0.004422,0.0098,0.03747,0.05593,0.09147,0.2069
9,0.008373,0.00082735,0.0067465,0.024855,0.0042845,0.009403,0.03574,0.053865,0.08885,0.2033
10,0.007748,0.0007712,0.006515,0.02364,0.004147,0.009006,0.03401,0.0518,0.08623,0.1997
11,0.007266,0.0007286,0.006325,0.022685,0.0040345,0.008693,0.03262,0.050045,0.083845,0.19635
12,0.006784,0.000686,0.006135,0.02173,0.003922,0.00838,0.03123,0.04829,0.08146,0.193
13,0.0064025,0.0006524,0.005974,0.02095,0.003826,0.008122,0.03008,0.04671,0.07922,0.1898
14,0.006021,0.0006188,0.005813,0.02017,0.00373,0.007864,0.02893,0.04513,0.07698,0.1866
15,0.0057125,0.0005915,0.0056735,0.019515,0.0036465,0.007645,0.027925,0.04365,0.074845,0.1836
16,0.005404,0.0005642,0.005534,0.01886,0.003563,0.007426,0.02692,0.04217,0.07271,0.1806
17,0.00515,0.0005415,0.0054105,0.018295,0.0034895,0.0072365,0.025985,0.040755,0.07071,0.17775
18,0.004896,0.0005188,0.005287,0.01773,0.003416,0.007047,0.02505,0.03934,0.06871,0.1749
19,0.004684,0.0004996,0.005177,0.017235,0.00335,0.0068805,0.02418,0.03802,0.0669,0.17225
20,0.004472,0.0004804,0.005067,0.01674,0.003284,0.006714,0.02331,0.0367,0.06509,0.1696
21,0.004292,0.0004639,0.0049675,0.0163,0.0032245,0.0065655,0.02253,0.035535,0.063485,0.16705
22,0.004112,0.0004474,0.004868,0.01586,0.003165,0.006417,0.02175,0.03437,0.06188,0.1645
23,0.0039585,0.000433,0.004777,0.01547,0.0031105,0.0062835,0.02109,0.03338,0.060435,0.16205
24,0.003805,0.0004186,0.004686,0.01508,0.003056,0.00615,0.02043,0.03239,0.05899,0.1596
25,0.003672,0.00040595,0.004603,0.014725,0.003006,0.006029,0.019865,0.031545,0.05767,0.15725
26,0.003539,0.0003933,0.00452,0.01437,0.002956,0.005908,0.0193,0.0307,0.05635,0.1549
27,0.003423,0.0003821,0.0044435,0.014045,0.0029095,0.0057975,0.0188,0.02995,0.055115,0.15275
28,0.003307,0.0003709,0.004367,0.01372,0.002863,0.005687,0.0183,0.0292,0.05388,0.1506
29,0.003205,0.00036085,0.004296,0.01343,0.0028205,0.0055855,0.01784,0.02851,0.05274,0.1485
30,0.003103,0.0003508,0.004225,0.01314,0.002778,0.005484,0.01738,0.02782,0.0516,0.1464
31,0.0030125,0.00034175,0.004159,0.01287,0.002738,0.00539,0.016955,0.02718,0.050565,0.14445
32,0.002922,0.0003327,0.004093,0.0126,0.002698,0.005296,0.01653,0.02654,0.04953,0.1425
33,0.0028415,0.0003245,0.0040315,0.01235,0.0026605,0.005209,0.016135,0.025945,0.04859,0.14065
34,0.002761,0.0003163,0.00397,0.0121,0.002623,0.005122,0.01574,0.02535,0.04765,0.1388
35,0.002689,0.00030885,0.003912,0.011865,0.002588,0.005041,0.015375,0.024805,0.046795,0.13705
36,0.002617,0.0003014,0.003854,0.01163,0.002553,0.00496,0.01501,0.02426,0.04594,0.1353
37,0.002552,0.00029455,0.0037995,0.011415,0.00252,0.0048845,0.014675,0.02375,0.045155,0.13365
38,0.002487,0.0002877,0.003745,0.0112,0.002487,0.004809,0.01434,0.02324,0.04437,0.132
39,0.002428,0.00028145,0.003694,0.011,0.002456,0.004738,0.014035,0.02278,0.04364,0.1304
40,0.002369,0.0002752,0.003643,0.0108,0.002425,0.004667,0.01373,0.02232,0.04291,0.1288
41,0.0023155,0.0002694,0.0035945,0.01061,0.0023955,0.0046005,0.013455,0.021905,0.042225,0.12725
42,0.002262,0.0002636,0.003546,0.01042,0.002366,0.004534,0.01318,0.02149,0.04154,0.1257
43,0.002213,0.00025825,0.0035,0.010245,0.0023385,0.0044715,0.01293,0.021105,0.040895,0.12425
44,0.002164,0.0002529,0.003454,0.01007,0.002311,0.004409,0.01268,0.02072,0.04025,0.1228
45,0.0021195,0.0002479,0.003411,0.009905,0.0022845,0.0043495,0.012445,0.020365,0.03964,0.1214
46,0.002075,0.0002429,0.003368,0.00974,0.002258,0.00429,0.01221,0.02001,0.03903,0.12
47,0.0020335,0.00023825,0.0033265,0.0095835,0.0022325,0.004234,0.011995,0.01967,0.03846,0.1187
48,0.001992,0.0002336,0.003285,0.009427,0.002207,0.004178,0.01178,0.01933,0.03789,0.1174
49,0.001954,0.0002293,0.0032455,0.0092795,0.002183,0.004125,0.011575,0.01901,0.037355,0.11615
50,0.001916,0.000225,0.003206,0.009132,0.002159,0.004072,0.01137,0.01869,0.03682,0.1149
51,0.001881,0.00022095,0.0031685,0.0089925,0.002136,0.0040215,0.01118,0.018385,0.036315,0.1137
52,0.001846,0.0002169,0.003131,0.008853,0.002113,0.003971,0.01099,0.01808,0.03581,0.1125
53,0.0018135,0.0002131,0.0030955,0.0087205,0.002091,0.003923,0.010815,0.01779,0.035345,0.1114
54,0.001781,0.0002093,0.00306,0.008588,0.002069,0.003875,0.01064,0.0175,0.03488,0.1103
55,0.0017505,0.0002057,0.0030255,0.0084625,0.002048,0.003829,0.010475,0.01723,0.034455,0.1092
56,0.00172,0.0002021,0.002991,0.008337,0.002027,0.003783,0.01031,0.01696,0.03403,0.1081
57,0.0016915,0.00019875,0.0029585,0.008218,0.002007,0.0037395,0.010155,0.016705,0.03363,0.107
58,0.001663,0.0001954,0.002926,0.008099,0.001987,0.003696,0.01,0.01645,0.03323,0.1059
59,0.0016365,0.00019225,0.0028945,0.007985,0.0019675,0.0036545,0.00986,0.016215,0.03284,0.1049
60,0.00161,0.0001891,0.002863,0.007871,0.001948,0.003613,0.00972,0.01598,0.03245,0.1039
61,0.0015855,0.0001861,0.002833,0.007763,0.0019295,0.003573,0.009588,0.015755,0.032075,0.10295
62,0.001561,0.0001831,0.002803,0.007655,0.001911,0.003533,0.009456,0.01553,0.0317,0.102
63,0.0015375,0.00018025,0.002774,0.007552,0.0018935,0.0034945,0.009332,0.01532,0.031335,0.10105
64,0.001514,0.0001774,0.002745,0.007449,0.001876,0.003456,0.009208,0.01511,0.03097,0.1001
65,0.001492,0.0001747,0.002717,0.00735,0.0018585,0.0034195,0.0090925,0.01491,0.03062,0.099235
66,0.00147,0.000172,0.002689,0.007251,0.001841,0.003383,0.008977,0.01471,0.03027,0.09837
